Estimate	Std.Error	Zvalue/w	Pvalue	Qvalue
motu linkage group 113	3.23580099987566	1.03996772185883	3.11144368412896	0.00186174980895007	0.047334538119927
motu linkage group 310	-1.36160514447933	0.344724687043514	-3.94983357924539	7.82055495687577e-05	0.00695925006845547
Akkermansia muciniphila	-1.13707549226301	0.319141212528932	-3.56292276780117	0.000366748604097298	0.0108785768710106
motu linkage group 273	1.37892223748142	0.324896952809725	4.24418334969422	2.19390920568138e-05	0.00390457272508514
motu linkage group 348	1.18712042972286	0.326678421769363	3.63391136547418	0.000279156795423526	0.00999154427863386
motu linkage group 63	-1.20267152872443	0.331087695954078	-3.63248632740264	0.000280703453556369	0.00999154427863386
Eubacterium siraeum	-1.22855063622081	0.336392810237822	-3.65213107661918	0.000260073070324483	0.00999154427863386
Clostridium perfringens	1.42314220334533	0.468199367352153	3.03960727540865	0.00236886822215111	0.0526994133666728
motu linkage group 192	2.12990712539969	0.77717604352372	2.74057228493905	0.00613322894022831	0.0575500051724121
Acidaminococcus intestini	0	0	0	1	1
Lactobacillus acidophilus	1.80166156839504	0.656645611134492	2.74373503430914	0.00607445462167402	0.0575500051724121
Lactobacillus fermentum	-1.63102639124758	0.572115438127432	-2.85086939199898	0.00435998744734269	0.0575500051724121
Pseudoflavonifractor capillosus	-1.11279421241814	0.408649891728097	-2.72309924691859	0.00646726261870372	0.0575500051724121
motu linkage group 49	2.5285415970143	1.06081120774919	2.38359246069744	0.0171445770194844	0.0856138502696353
Enterococcus faecium	-0.871899813810871	0.316773014638643	-2.75244346430672	0.0059152358959705	0.0575500051724121
Streptococcus vestibularis	-0.966833369754172	0.346845392693069	-2.78750529810192	0.00531155857406658	0.0575500051724121
motu linkage group 14	1.05378689918527	0.373109407609092	2.82433752056267	0.00473784631857714	0.0575500051724121
Bacteroides plebeius	0	0	2709	0.0038030228858519	0.0575500051724121
Veillonella parvula	-0.416354485805634	0.37737346107356	-1.10329561761227	0.269898809124323	0.27651634930188
motu linkage group 254	-0.873685168934636	0.313696169013171	-2.78513177793368	0.00535059730181308	0.0575500051724121
motu linkage group 624	-0.206372387020425	0.334719881093643	-0.616552522503702	0.537529918436258	0.38420070760978
motu linkage group 240	-1.49991703161405	0.579159879936055	-2.58981515048946	0.00960274805481862	0.071209700405279
Lactobacillus johnsonii	1.93338859291618	0.784783629670507	2.46359444797277	0.0137551650133916	0.0856138502696353
motu linkage group 316	0	0	4529.5	0.00624306191311338	0.0575500051724121
Bacteroides intestinalis	0.820545651524613	0.321989031705954	2.54836522591226	0.010822909701582	0.0770475604321681
motu linkage group 33	1.3114732050576	0.501666655077914	2.61423236283048	0.00894281938082323	0.0691992661939209
Bifidobacterium longum	0	0	2780.5	0.00752070413080243	0.0637373605298269
Alkaliphilus oremlandii	-0.938909539096702	0.389574863548248	-2.41008757737887	0.0159486916279994	0.0856138502696353
motu linkage group 481	-2.30258521101685	1.0606600263562	-2.17089845360458	0.0299388492649482	0.115740917277388
Anaerotruncus colihominis	-0.727197263275133	0.314819565642445	-2.30988586046473	0.0208944740794385	0.0943129109907704
Butyrivibrio crossotus	1.82453650194527	0.791743020205012	2.30445542983483	0.0211970915340293	0.0943129109907704
motu linkage group 161	1.34944231261704	0.541384152972467	2.49257815399275	0.0126819417355389	0.0856138502696353
motu linkage group 565	1.82387986781309	0.790378790327083	2.30760224101954	0.0210212697606478	0.0943129109907704
Lactobacillus crispatus	-1.56641925958448	0.656308524900038	-2.38671173717126	0.0169998149296295	0.0856138502696353
Bifidobacterium bifidum	-0.619307925724314	0.312855192641002	-1.97953538982798	0.0477557592200743	0.127168774589291
Leuconostoc gelidum	1.82422980430063	0.790883160166929	2.30657307700874	0.0210786318841722	0.0943129109907704
Clostridiales bacterium 1 7 47FAA	-1.07855456534324	0.446398376791889	-2.41612564340946	0.0156866474092101	0.0856138502696353
Bacteroides finegoldii	0.609192049293373	0.347329387207169	1.75393177695619	0.0794421978368203	0.155021318642023
Lachnospiraceae bacterium 3 1 57FAA CT1	-0.96269535969377	0.450803572506128	-2.13550960641663	0.0327194063492561	0.115740917277388
Clostridium bolteae	-0.569548702743349	0.315550889990097	-1.80493454720164	0.0710849249298377	0.145601254040179
Bifidobacterium adolescentis	0	0	2858	0.0149011013470343	0.0856138502696353
Streptococcus gallolyticus	-1.12412009878926	0.424734500963437	-2.64664183446222	0.00812954055921358	0.0657655092081504
motu linkage group 411	-1.00088918296586	0.412409290743245	-2.4269317045745	0.0152271220050052	0.0856138502696353
Clostridium symbiosum	-0.633601241699153	0.341785870190206	-1.85379589082062	0.0637683665992101	0.14011193786338
Clostridium ramosum	-0.801923244568117	0.334533756963696	-2.39713699402582	0.0165237445844702	0.0856138502696353
Methanobrevibacter smithii	-1.13863207349934	0.499667379100159	-2.27878008676469	0.0226801412136239	0.0948872376966649
Veillonella atypica	-0.521814362045636	0.311826697239112	-1.67341143867968	0.0942463275567606	0.164788053124617
Lactococcus lactis	0.675503932227058	0.32055972194659	2.10726390740883	0.035094710065126	0.117573771828833
Bifidobacterium dentium	-0.889101874942648	0.415697523713406	-2.13881927176362	0.0324503080559812	0.115740917277388
motu linkage group 230	-0.765549119817061	0.503337302650592	-1.52094652191612	0.128273258052506	0.190727669903447
Dorea formicigenerans	0	0	2903	0.0217319632311395	0.0943343737412305
motu linkage group 452	-0.664176370140219	0.312384089981219	-2.1261530002381	0.0334905220716937	0.115740917277388
Dialister invisus	-0.945687444408085	0.328609010207714	-2.87785001333444	0.0040039545768145	0.0575500051724121
motu linkage group 190	0.775971579855042	0.322096341573801	2.40912882171698	0.015990652570784	0.0856138502696353
motu linkage group 573	0.414943941592456	0.31556649652247	1.31491760426129	0.18853759559718	0.229833775247855
motu linkage group 226	0	0	0	1	1
motu linkage group 379	-1.0116060496298	0.347248500898037	-2.91320494404911	0.00357739731185727	0.0575500051724121
Megasphaera micronuciformis	-0.892747093501188	0.453213915695747	-1.96981395006527	0.0488596972007624	0.127168774589291
Streptococcus sanguinis	-1.38629275798216	0.665062760226103	-2.08445404086505	0.0371188865783485	0.117573771828833
Citrobacter sp. 30 2	-0.603646196245097	0.316395116066734	-1.90788721314451	0.056405795304805	0.130774017093862
motu linkage group 600	0.520436579450422	0.338946388000236	1.53545397701674	0.124672353715097	0.188036871610595
Lactobacillus oris	-1.59692972786172	0.790678004635758	-2.019696663495	0.0434148614086485	0.122645815508246
motu linkage group 552	0	0	4351	0.02887547394515	0.114201411898976
motu linkage group 389	-1.38629205047247	0.665063036608378	-2.08445211079862	0.0371190619743066	0.117573771828833
Clostridium scindens	-1.11190499671648	0.541446551959716	-2.05358219143153	0.0400161472299557	0.117573771828833
Coprobacillus sp. 29 1	-0.829459538155164	0.417900610162684	-1.98482490330001	0.047163955784861	0.127168774589291
Bifidobacterium catenulatum-Bifidobacterium pseudocatenulatum complex	0	0	2958.5	0.0338170249394786	0.115740917277388
Lactobacillus ruminis	-0.861049730662255	0.378538036986988	-2.27467162221231	0.0229256360541565	0.0948872376966649
Bifidobacterium angulatum	-0.832210929235234	0.403874556758743	-2.06056785531147	0.0393442860760008	0.117573771828833
Streptococcus anginosus	-0.839346405655597	0.402531409250376	-2.0851699677764	0.0370538749432898	0.117573771828833
Bacteroides dorei/vulgatus	0	0	4316	0.0380559574392961	0.117573771828833
Veillonella dispar	-0.663497159165515	0.31239853557395	-2.12388050394191	0.0336801370339823	0.115740917277388
motu linkage group 414	-0.688352830949768	0.310938797682764	-2.21378881014411	0.0268433101907328	0.108577105352227
Cronobacter sakazakii/turicensis	-0.586960963019653	0.342549027558726	-1.71350935427492	0.0866188739291426	0.158926260624015
Streptococcus salivarius	0	0	2978.5	0.0390217924458864	0.117573771828833
motu linkage group 70	0	0	4305.5	0.040958804736036	0.117573771828833
motu linkage group 566	0.98491721864263	0.520077316121014	1.89378999643479	0.0582528899935586	0.131491857488592
motu linkage group 625	1.08459232260976	0.556848207635221	1.94773424379997	0.0514467704204996	0.127168774589291
motu linkage group 696	-0.588288653003296	0.342383354369718	-1.71821627861044	0.0857571733916079	0.158926260624015
motu linkage group 42	1.08388158936917	0.556308604552179	1.94834590099803	0.0513735883376813	0.127168774589291
motu linkage group 233	-1.1721155530711	0.593237026878357	-1.97579635114624	0.0481778468793687	0.127168774589291
Streptococcus mutans	-1.28655834218507	0.67060668824858	-1.91849912136303	0.0550477534226726	0.130774017093862
Paraprevotella xylaniphila	0.986943708066163	0.521384817691759	1.89292759316525	0.0583674991793015	0.131491857488592
motu linkage group 24	-0.826680895629942	0.482061732518809	-1.7148859572621	0.0863661377590099	0.158926260624015
motu linkage group 270	-0.672870144844632	0.352926064022749	-1.90654704607269	0.0565792679323509	0.130774017093862
motu linkage group 288	0	0	3016.5	0.0512013644861112	0.127168774589291
Stenotrophomonas maltophilia	-1.08527494149355	0.599442378254396	-1.81047416876651	0.0702222866228938	0.145601254040179
motu linkage group 490	0	0	4264	0.055503524874111	0.130774017093862
motu linkage group 502	-0.688779831650589	0.322364192619558	-2.13665117720894	0.0326263737834668	0.115740917277388
motu linkage group 45	-0.996753996217889	0.63334731731886	-1.57378735010268	0.115536619510231	0.180372228410044
motu linkage group 636	-1.08568522889059	0.599277616174099	-1.81165656715465	0.0700392785833807	0.145601254040179
motu linkage group 320	0.706182744574786	0.345367329587075	2.04472943465471	0.0408815400320242	0.117573771828833
Haemophilus parainfluenzae	0	0	4243	0.0636674531599038	0.14011193786338
Bacillus anthracis/cereus/thuringiensis	-0.316453955541161	0.307840024654828	-1.02798184185436	0.303958369263932	0.293322066583715
Haemophilus pittmaniae	0.982172920396747	0.562889767987751	1.74487613073493	0.0810064330855848	0.155021318642023
motu linkage group 131	0	0	3051	0.0663043866304763	0.143594841694394
Bacteroides xylanisolvens	0	0	3062	0.0715429389525792	0.145601254040179
motu linkage group 115	0	0	4227	0.0719934393845033	0.145601254040179
motu linkage group 701	-0.986973555210354	0.605049896595752	-1.6312267149593	0.102842490287638	0.166392890046792
Lactobacillus salivarius	-0.826669472336452	0.482065000931763	-1.71485063370835	0.086372615501045	0.158926260624015
Bacteroides eggerthii	0.628533943430143	0.320378943037137	1.96184536184479	0.049780490635431	0.127168774589291
motu linkage group 383	-0.635971236848578	0.386628106998701	-1.64491723528708	0.0999868801135129	0.166308369385714
motu linkage group 238	0.422852473384378	0.312114671246514	1.35479845178569	0.175481780023856	0.221675813734034
Klebsiella oxytoca	-0.643009259115528	0.385278504403426	-1.6689466237188	0.0951279584761246	0.164788053124617
motu linkage group 398	0.983362053094581	0.563544154384507	1.74496008066766	0.0809918179214004	0.155021318642023
Ruminococcus lactaris	0.428168820704911	0.315584779298273	1.35674737437267	0.174861494022962	0.221675813734034
motu linkage group 385	0.807985110935771	0.452318696119935	1.78631818199602	0.0740477546222438	0.146428040313249
motu linkage group 651	-0.588643671535593	0.347529917920996	-1.6937927964792	0.0903046634224748	0.163998157333693
motu linkage group 145	0.818372227842023	0.496522246362172	1.64820858247122	0.0993098762689669	0.166308369385714
butyrate-producing bacterium	0	0	4188	0.093293793218552	0.164788053124617
Eggerthella lenta	-0.440345655976407	0.344608392488032	-1.27781466027906	0.201314783986586	0.237275877346362
Bacteroides fragilis	0	0	4184.5	0.0953691872983062	0.164788053124617
Roseburia intestinalis	0	0	4181	0.0974326404629219	0.166308369385714
Bifidobacterium breve	0.818436902630457	0.496557854971852	1.6482206341834	0.0993074040658846	0.166308369385714
motu linkage group 301	-0.630292705541603	0.325513463278826	-1.93630303088789	0.0528305978110921	0.12880049458731
motu linkage group 290	0	0	4157.5	0.113002627704945	0.177977443734202
Bacteroides ovatus	0	0	3138	0.11713738907865	0.18128111556175
motu linkage group 151	0.523353890896535	0.311911263768718	1.6778935283485	0.0933678861588498	0.164788053124617
motu linkage group 342	0.723668710883582	0.502690527335674	1.43959090440618	0.149983174460534	0.203794127082625
Enhydrobacter aerosaccus	0	0	0	1	1
Lactobacillus delbrueckii	0	0	0	1	1
Clostridium sp. HGF2	-0.215686214868064	0.306968280736664	-0.702633556634775	0.482284144549981	0.363446184368812
motu linkage group 456	-0.203098065530224	0.364841522500368	-0.55667475603745	0.577749667498456	0.401198187383041
